fund_name,policy,fund_manager_name
K-GPINUH-A(A),กองทุนจะลงทุนในกองทุน JPMorgan ETFs (Ireland) ICAV - Global Equity Premium Income Active UCITS ETF - USD (dist) (กองทุนหลัก) ที่มีนโยบายลงทุนในตราสารทุนทั่วโลก รวมถึงการขายสิทธิในการซื้อตราสารทุน (Equity Call Options) และสิทธิในการซื้อดัชนีที่อ้างอิงกับตราสารทุน (Equity Index Call Options) | กองทุนอาจลงทุนในสัญญาซื้อขายล่วงหน้าเพื่อการเพิ่มประสิทธิภาพการบริหารการลงทุน (Efficient Portfolio Management) และตราสารที่มีสัญญาซื้อขายล่วงหน้าแฝง (Structured Notes) | กองทุนจะไม่ป้องกันความเสี่ยงด้านอัตราแลกเปลี่ยน | บริษัทที่บริหารจัดการกองทุนหลัก คือ JPMorgan Asset Management (Europe) S.à r.l. | กองทุนมุ่งหวังให้ผลประกอบการเคลื่อนไหวตามกองทุนหลัก โดยกองทุนหลักมุ่งหวังให้ผลประกอบการเคลื่อนไหวสูงกว่าดัชนีชี้วัด (active management),น.ส. ชุณหวรรณ ขัตตินานนท์
K-GPINUH-A(R),กองทุนจะลงทุนในกองทุน JPMorgan ETFs (Ireland) ICAV - Global Equity Premium Income Active UCITS ETF - USD (dist) (กองทุนหลัก) ที่มีนโยบายลงทุนในตราสารทุนทั่วโลก รวมถึงการขายสิทธิในการซื้อตราสารทุน (Equity Call Options) และสิทธิในการซื้อดัชนีที่อ้างอิงกับตราสารทุน (Equity Index Call Options) | กองทุนอาจลงทุนในสัญญาซื้อขายล่วงหน้าเพื่อการเพิ่มประสิทธิภาพการบริหารการลงทุน (Efficient Portfolio Management) และตราสารที่มีสัญญาซื้อขายล่วงหน้าแฝง (Structured Notes) | กองทุนจะไม่ป้องกันความเสี่ยงด้านอัตราแลกเปลี่ยน | บริษัทที่บริหารจัดการกองทุนหลัก คือ JPMorgan Asset Management (Europe) S.à r.l. | กองทุนมุ่งหวังให้ผลประกอบการเคลื่อนไหวตามกองทุนหลัก โดยกองทุนหลักมุ่งหวังให้ผลประกอบการเคลื่อนไหวสูงกว่าดัชนีชี้วัด (active management),น.ส. ชุณหวรรณ ขัตตินานนท์
K-GPINUH-C(A),กองทุนจะลงทุนในกองทุน JPMorgan ETFs (Ireland) ICAV - Global Equity Premium Income Active UCITS ETF - USD (dist) (กองทุนหลัก) ที่มีนโยบายลงทุนในตราสารทุนทั่วโลก รวมถึงการขายสิทธิในการซื้อตราสารทุน (Equity Call Options) และสิทธิในการซื้อดัชนีที่อ้างอิงกับตราสารทุน (Equity Index Call Options) | กองทุนอาจลงทุนในสัญญาซื้อขายล่วงหน้าเพื่อการเพิ่มประสิทธิภาพการบริหารการลงทุน (Efficient Portfolio Management) และตราสารที่มีสัญญาซื้อขายล่วงหน้าแฝง (Structured Notes) | กองทุนจะไม่ป้องกันความเสี่ยงด้านอัตราแลกเปลี่ยน | บริษัทที่บริหารจัดการกองทุนหลัก คือ JPMorgan Asset Management (Europe) S.à r.l. | กองทุนมุ่งหวังให้ผลประกอบการเคลื่อนไหวตามกองทุนหลัก โดยกองทุนหลักมุ่งหวังให้ผลประกอบการเคลื่อนไหวสูงกว่าดัชนีชี้วัด (active management),น.ส. ชุณหวรรณ ขัตตินานนท์
K-PLANET-A(A),"กองทุนนี้เปลี่ยนชื่อมาจากกองทุนเปิดเค Climate Transition เมื่อวันที่ 2 พฤษภาคม 2566 | ลงทุนในกองทุน LO Funds – Planetary Transition, (USD), I Class A (กองทุนหลัก) ที่มีนโยบายลงทุนในตราสารทุนหรือตราสารเทียบเท่าตราสารทุน ที่ออกโดยบริษัททั่วโลกรวมถึงประเทศตลาดเกิดใหม่ ที่การเติบโตของธุรกิจได้รับประโยชน์จากกฎเกณฑ์ นวัตกรรม การบริการ หรือสินค้าที่เกี่ยวข้องกับการป้องกันหรือช่วยลดปัญหาการเปลี่ยนแปลงสภาพภูมิอากาศ (Climate Change) | ป้องกันความเสี่ยงด้านอัตราแลกเปลี่ยนตามดุลยพินิจของผู้จัดการกองทุน | บริษัทที่บริหารจัดการกองทุนหลัก คือ Lombard Odier Funds (Europe) S.A. | กองทุนมุ่งหวังให้ผลประกอบการเคลื่อนไหวตามกองทุนหลัก โดยกองทุนหลักมุ่งหวังให้ผลประกอบการเคลื่อนไหวสูงกว่าดัชนีชี้วัด (active management)",น.ส. วีรยา จุลมนต์
K-GTECHRMF,"กองทุนนี้เปลี่ยนชื่อย่อกองทุนมาจาก KGTECHRMF เมื่อวันที่ 12 มีนาคม 2568 | กองทุนหลักมีการเปลี่ยนชื่อกองทุนเป็นกองทุน CT (Lux) Global Technology, Class IU USD เมื่อวันที่ 5 มิ.ย. 67 | กองทุนจะลงทุนในกองทุน CT (Lux) Global Technology, Class IU USD (กองทุนหลัก) ที่มีนโยบายเน้นลงทุนในตราสารทุนของบริษัทที่ประกอบธุรกิจด้านเทคโนโลยีและอุตสาหกรรมที่เกี่ยวข้องกับเทคโนโลยีทั่วโลก ซึ่งกองทุนหลักมีการลงทุนที่กระจุกตัวและให้น้ำหนักการลงทุนตามระดับความเชื่อมั่น | กองทุนอาจลงทุนในสัญญาซื้อขายล่วงหน้าเพื่อการเพิ่มประสิทธิภาพการบริหารการลงทุน (Efficient Portfolio Management) และตราสารที่มีสัญญาซื้อขายล่วงหน้าแฝง (Structured Notes) | กองทุนจะป้องกันความเสี่ยงด้านอัตราแลกเปลี่ยนตามดุลยพินิจของผู้จัดการกองทุน | บริษัทที่บริหารจัดการกองทุนหลัก คือ Threadneedle Management Luxembourg S.A. | กองทุนมุ่งหวังให้ผลประกอบการเคลื่อนไหวตามกองทุนหลัก โดยกองทุนหลักมุ่งหวังให้ผลประกอบการเคลื่อนไหวสูงกว่าดัชนีชี้วัด (active management)",น.ส. ชุณหวรรณ ขัตตินานนท์
K-GOLD-A(A),"ลงทุนในกองทุน SPDR Gold Trust (กองทุนหลัก) ที่เน้นลงทุนในทองคำแท่งเพื่อสร้างผลตอบแทนก่อนหักค่าใช้จ่ายให้ใกล้เคียงกับการเคลื่อนไหวของราคาทองคำแท่งในตลาดโลก | ป้องกันความเสี่ยงจากอัตราแลกเปลี่ยนไม่น้อยกว่า 90% ของมูลค่าเงินลงทุนต่างประเทศ | บริษัทที่บริหารจัดการกองทุนหลัก คือ World Gold Trust Services, LLC | มุ่งหวังให้ผลประกอบการเคลื่อนไหวตามกองทุนหลัก โดยกองทุนหลักมุ่งหวังให้ผลประกอบการเคลื่อนไหวตามดัชนีชี้วัด (passive management/index tracking)",น.ส. สุธีวัน พงศธราธิก
K-GOLD-A(D),"ลงทุนในกองทุน SPDR Gold Trust (กองทุนหลัก) ที่เน้นลงทุนในทองคำแท่งเพื่อสร้างผลตอบแทนก่อนหักค่าใช้จ่ายให้ใกล้เคียงกับการเคลื่อนไหวของราคาทองคำแท่งในตลาดโลก | ป้องกันความเสี่ยงจากอัตราแลกเปลี่ยนไม่น้อยกว่า 90% ของมูลค่าเงินลงทุนต่างประเทศ | บริษัทที่บริหารจัดการกองทุนหลัก คือ World Gold Trust Services, LLC | มุ่งหวังให้ผลประกอบการเคลื่อนไหวตามกองทุนหลัก โดยกองทุนหลักมุ่งหวังให้ผลประกอบการเคลื่อนไหวตามดัชนีชี้วัด (passive management/index tracking)",น.ส. สุธีวัน พงศธราธิก
K-ASIA,ลงทุนในกองทุน Templeton Asian Smaller Companies – Class I (กองทุนหลัก) ที่มีนโยบายเน้นลงทุนในหุ้นของบริษัทขนาดเล็ก (Small-cap) ที่ดำเนินธุรกิจหลักในภูมิภาคเอเชีย | ป้องกันความเสี่ยงจากอัตราแลกเปลี่ยนไม่น้อยกว่า 75% ของมูลค่าเงินลงทุนต่างประเทศ | บริษัทที่บริหารจัดการกองทุนหลัก คือ Franklin Templeton International Services S.à r.l. | กองทุนมุ่งหวังให้ผลประกอบการเคลื่อนไหวตามกองทุนหลัก โดยกองทุนหลักมุ่งหวังให้ผลประกอบการเคลื่อนไหวสูงกว่าดัชนีชี้วัด (active management),น.ส. ชุณหวรรณ ขัตตินานนท์
K-WORLDX,ลงทุนในกองทุน iShares MSCI ACWI ETF (กองทุนหลัก) ซึ่งเป็นกองทุนอีทีเอฟที่จดทะเบียนซื้อขายในตลาดหุ้น NASDAQ และมีนโยบายลงทุนเพื่อสร้างผลตอบแทนให้สอดคล้องกับผลการดำเนินงานของดัชนี MSCI ACWI (USD) | ป้องกันความเสี่ยงด้านอัตราแลกเปลี่ยนตามดุลยพินิจของผู้จัดการกองทุน | บริษัทที่บริหารจัดการกองทุนหลัก คือ BlackRock Fund Advisors | มุ่งหวังให้ผลประกอบการเคลื่อนไหวตามกองทุนหลัก โดยกองทุนหลักมุ่งหวังให้ผลประกอบการเคลื่อนไหวตามดัชนีชี้วัด (passive management/index tracking),น.ส. วีรยา จุลมนต์
K-GLOBE,ลงทุนในกองทุนหุ้นต่างประเทศตั้งแต่ 2 กองทุนขึ้นไป ซึ่งกองทุนต่างประเทศดังกล่าวมีนโยบายลงทุนในตราสารทุนของประเทศต่าง ๆ ภูมิภาคต่าง ๆ หรือกองทุนที่มีนโยบายการลงทุนในตราสารทุนทั่วโลก (Global Equity Funds) | ป้องกันความเสี่ยงจากอัตราแลกเปลี่ยนตามดุลยพินิจของผู้จัดการกองทุน | มุ่งหวังให้ผลประกอบการเคลื่อนไหวสูงกว่าดัชนีชี้วัด (active management),นาย ปณตพล ตัณฑวิเชียร | นาย พิศิษฏ์ ไชยพร
K-70ThaiESGX-68,กองทุนจะลงทุนใน (1) หุ้นที่มีความโดดเด่นด้านสิ่งแวดล้อม (Environment) หรือด้านความยั่งยืน (ESG) และหรือหุ้นที่มีการเปิดเผยข้อมูล แผนการจัดการ และการตั้งเป้าหมายเพื่อให้บรรลุเป้าหมายในการลดปริมาณการปล่อยก๊าซเรือนกระจก และหรือหุ้นที่มีธรรมาภิบาล (Governance) และ (2) ตราสารเพื่ออนุรักษ์สิ่งแวดล้อม (green bond) และหรือตราสารเพื่อความยั่งยืน (sustainability bond) และหรือตราสารส่งเสริมความยั่งยืน (sustainability – linked bond) โดยมี net exposure ในทรัพย์สินดังกล่าวรวมกันโดยเฉลี่ยในรอบปีบัญชีไม่น้อยกว่า 80% ของ NAV (รายละเอียดเพิ่มเติมตามเอกสารแนบท้าย) | กองทุนจะลงทุนในหุ้นตาม (1) ที่มีประวัติการจ่ายเงินปันผลอย่างสม่ำเสมอและหรือมีแนวโน้มการจ่ายเงินปันผลในอนาคต ในระดับที่สูงกว่าค่าเฉลี่ยของตลาด โดยมี net exposure เฉลี่ยในรอบปีบัญชีไม่น้อยกว่า 65% และไม่เกิน 70% ของ NAV | กองทุนอาจลงทุนในต่างประเทศได้ไม่เกิน 20% ของ NAV โดยจะป้องกันความเสี่ยงด้านอัตราแลกเปลี่ยนทั้งหมดหรือเกือบทั้งหมด | กองทุนอาจลงทุนในสัญญาซื้อขายล่วงหน้าเพื่อการเพิ่มประสิทธิภาพการบริหารการลงทุน และตราสารที่มีสัญญาซื้อขายล่วงหน้าแฝง | มุ่งหวังให้ผลประกอบการเคลื่อนไหวสูงกว่าดัชนีชี้วัด (active management),น.ส. วินิทร ผ่องใส | นาง สลิลสิริ เรืองสุขอุดม
K-GIFRMF,"กองทุนนี้เปลี่ยนชื่อย่อกองทุนมาจาก KGIFRMF เมื่อวันที่ 12 มีนาคม 2568 | ลงทุนในกองทุน Wellington Enduring Assets Fund, USD S Accumulating Unhedged (กองทุนหลัก) ที่มีนโยบายลงทุนในตราสารทุนของบริษัทที่เป็นเจ้าของสินทรัพย์ที่มีลักษณะคงทนถาวร (long-lived physical assets) ทั่วโลก เช่น บริษัทที่อยู่ในหมวดสาธารณูปโภค การขนส่ง พลังงาน อสังหาริมทรัพย์ และสินค้าอุตสาหกรรม | ป้องกันความเสี่ยงจากอัตราแลกเปลี่ยนไม่น้อยกว่า 75% ของมูลค่าเงินลงทุนต่างประเทศ | บริษัทที่บริหารจัดการกองทุนหลัก คือ Wellington Luxembourg S.à.r.l. | กองทุนมุ่งหวังให้ผลประกอบการเคลื่อนไหวตามกองทุนหลัก โดยกองทุนหลักมุ่งหวังให้ผลประกอบการเคลื่อนไหวสูงกว่าดัชนีชี้วัด (active management)",น.ส. ชุณหวรรณ ขัตตินานนท์
K-GSELECT,กองทุนจะลงทุนในกองทุน JPMorgan Global Select Equity ETF (กองทุนหลัก) ซึ่งเป็นกองทุนอีทีเอฟที่จดทะเบียนซื้อขายในตลาดหลักทรัพย์ NASDAQ ประเทศสหรัฐอเมริกา และมีนโยบายเน้นลงทุนในตราสารทุนของบริษัทในประเทศที่พัฒนาแล้วทั่วโลก | กองทุนจะป้องกันความเสี่ยงด้านอัตราแลกเปลี่ยนตามดุลยพินิจของผู้จัดการกองทุน | บริษัทที่บริหารจัดการกองทุนหลัก คือ J.P. Morgan Investment Management Inc. | กองทุนมุ่งหวังให้ผลประกอบการเคลื่อนไหวตามกองทุนหลัก โดยกองทุนหลักมุ่งหวังให้ผลประกอบการเคลื่อนไหวสูงกว่าดัชนีชี้วัด (active management),น.ส. สุธีวัน พงศธราธิก
K-STEQ-A(A),ลงทุนหุ้นพื้นฐานดี พร้อมจับจังหวะธีมการลงทุนและระดับการถือเงินสดให้สอดคล้องกับสภาวะตลาดนั้นๆ เพื่อเพิ่มโอกาสในการทำกำไร โดยมีการกระจายการลงทุนไปในหุ้นขนาดกลางและเล็กเพื่อเพิ่มผลตอบแทน | อาจลงทุนในสัญญาซื้อขายล่วงหน้าเพื่อการเพิ่มประสิทธิภาพการบริหารการลงทุน (Efficient Portfolio Management) | มุ่งหวังให้ผลประกอบการเคลื่อนไหวสูงกว่าดัชนีชี้วัด (active management),น.ส. กอบพร กุลสุรกิจ
K-STEQ-C(A),ลงทุนหุ้นพื้นฐานดี พร้อมจับจังหวะธีมการลงทุนและระดับการถือเงินสดให้สอดคล้องกับสภาวะตลาดนั้นๆ เพื่อเพิ่มโอกาสในการทำกำไร โดยมีการกระจายการลงทุนไปในหุ้นขนาดกลางและเล็กเพื่อเพิ่มผลตอบแทน | อาจลงทุนในสัญญาซื้อขายล่วงหน้าเพื่อการเพิ่มประสิทธิภาพการบริหารการลงทุน (Efficient Portfolio Management) | มุ่งหวังให้ผลประกอบการเคลื่อนไหวสูงกว่าดัชนีชี้วัด (active management),น.ส. กอบพร กุลสุรกิจ
K-AHYB-UI,"กองทุนนี้เปลี่ยน Share Class ของกองทุนหลักจาก (USD), NA เป็น X1, (USD), IA เมื่อวันที่ 4 เม.ย. 66 | ลงทุนในกองทุน LO Funds – Asia Diversified High Yield Bond, X1, (USD), IA (กองทุนหลัก) ที่มีนโยบายลงทุนในพันธบัตร ตราสารหนี้ทั้งที่จ่ายดอกเบี้ยแบบคงที่หรือลอยตัว หุ้นกู้แปลงสภาพ หุ้นกู้ที่มีใบสำคัญแสดงสิทธิในตราสารที่เปลี่ยนมือได้ และตราสารหนี้ระยะสั้นที่มีอันดับความน่าเชื่อถือตํ่ากว่าอันดับที่สามารถลงทุนได้หรือเทียบเท่า ซึ่งตราสารดังกล่าวออกหรือคํ้าประกันโดยหน่วยงานภาครัฐหรือเอกชนในภูมิภาคเอเชียแปซิฟิก รวมถึงองค์กรที่จัดตั้งหรือดำเนินธุรกิจในภูมิภาคเอเชียแปซิฟิก (รวมถึงประเทศญี่ปุ่นและออสเตรเลีย) | อาจลงทุนในตราสารที่มีสัญญาซื้อขายล่วงหน้าแฝง (Structured Notes) และสัญญาซื้อขายล่วงหน้าเพื่อการเพิ่มประสิทธิภาพการบริหารการลงทุน (Efficient Portfolio Management) | ป้องกันความเสี่ยงด้านอัตราแลกเปลี่ยนตามดุลยพินิจของผู้จัดการกองทุน | อาจลงทุนในตราสารหนี้ที่มีอันดับความน่าเชื่อถือต่ำกว่าที่สามารถลงทุนได้และตราสารหนี้ที่ไม่ได้รับการจัดอันดับความน่าเชื่อถือทั้งในและต่างประเทศ | บริษัทที่บริหารจัดการกองทุนหลัก คือ Lombard Odier Funds (Europe) S.A. | กองทุนมุ่งหวังให้ผลประกอบการเคลื่อนไหวตามกองทุนหลัก โดยกองทุนหลักมุ่งหวังให้ผลประกอบการเคลื่อนไหวสูงกว่าดัชนีชี้วัด (active management)",น.ส. สุธีวัน พงศธราธิก
K-SEMQ,"ลงทุนในกองทุน Templeton Emerging Markets Fund, Class I (acc) USD (กองทุนหลัก) ที่มีนโยบายลงทุนในหุ้นของบริษัทในตลาดเกิดใหม่ หรือบริษัทที่มีรายได้จากการขายหรือการผลิตส่วนใหญ่มาจากกลุ่มประเทศตลาดเกิดใหม่ | ป้องกันความเสี่ยงจากอัตราแลกเปลี่ยนไม่น้อยกว่า 75% ของมูลค่าเงินลงทุนต่างประเทศ | บริษัทที่บริหารจัดการกองทุนหลัก คือ Franklin Templeton International Services S.à r.l. | กองทุนมุ่งหวังให้ผลประกอบการเคลื่อนไหวตามกองทุนหลัก โดยกองทุนหลักมุ่งหวังให้ผลประกอบการเคลื่อนไหวสูงกว่าดัชนีชี้วัด (active management)",น.ส. ชุณหวรรณ ขัตตินานนท์
K-GBRMF,กองทุนนี้เปลี่ยนชื่อย่อกองทุนมาจาก KGBRMF เมื่อวันที่ 12 มีนาคม 2568 | ลงทุนส่วนใหญ่ในพันธบัตรรัฐบาลหรือรัฐวิสาหกิจที่กระทรวงการคลังค้ำประกันและ/หรือพันธบัตรธนาคารแห่งประเทศไทย | ลงทุนในหน่วยลงทุนของกองทุนรวมอื่นซึ่งอยู่ภายใต้การบริหารจัดการได้ไม่เกิน 60% ของ NAV และกองทุนรวมอื่นนั้นมีการลงทุนในกองทุนรวมใดๆ ที่อยู่ภายใต้การบริหารจัดการของบริษัทจัดการเดียวกันต่อได้อีกไม่เกิน 1 ทอด | อาจลงทุนในสัญญาซื้อขายล่วงหน้าเพื่อการเพิ่มประสิทธิภาพการบริหารการลงทุน (Efficient Portfolio Management) | มุ่งหวังให้ผลประกอบการเคลื่อนไหวตามดัชนีชี้วัด และในบางโอกาสอาจสร้างผลตอบแทนสูงกว่าดัชนีชี้วัด,น.ส. ทรงพร สืบสายไทย
K-ICT,ลงทุนหุ้นในดัชนีธุรกิจเทคโนโลยีสารสนเทศและการสื่อสาร (SET Information & Communication Technology Sector Index) | อาจลงทุนในสัญญาซื้อขายล่วงหน้าเพื่อการเพิ่มประสิทธิภาพการบริหารการลงทุน (Efficient Portfolio Management) | อาจลงทุนในตราสารต่างประเทศไม่เกิน 20% ของ NAV | ป้องกันความเสี่ยงจากอัตราแลกเปลี่ยนตามดุลยพินิจของผู้จัดการกองทุน | มุ่งหวังให้ผลประกอบการเคลื่อนไหวตามดัชนีชี้วัด (passive management/index tracking),น.ส. ชุลีกร เตรียมพาณิชย์กุล
K-US500XRMF,กองทุนนี้เปลี่ยนชื่อย่อกองทุนมาจาก KUS500XRMF เมื่อวันที่ 12 มีนาคม 2568 | กองทุนจะลงทุนในกองทุน iShares Core S&P 500 ETF (กองทุนหลัก) ซึ่งเป็นกองทุนอีทีเอฟที่จดทะเบียนซื้อขายในตลาดหลักทรัพย์นิวยอร์ก (NYSE Arca) และมีนโยบายลงทุนเพื่อสร้างผลตอบแทนให้ใกล้เคียงกับผลตอบแทนของดัชนี S&P 500 ซึ่งเป็นดัชนีที่สะท้อนการเคลื่อนไหวของราคาหุ้นบริษัทขนาดใหญ่ในสหรัฐอเมริกา | กองทุนจะป้องกันความเสี่ยงด้านอัตราแลกเปลี่ยนตามดุลยพินิจของผู้จัดการกองทุน | บริษัทที่บริหารจัดการกองทุนหลัก คือ BlackRock Fund Advisors | มุ่งหวังให้ผลประกอบการเคลื่อนไหวตามกองทุนหลัก โดยกองทุนหลักมุ่งหวังให้ผลประกอบการเคลื่อนไหวตามดัชนีชี้วัด (passive management/index tracking),น.ส. วีรยา จุลมนต์
K-FI22G,กองทุนนี้เปลี่ยนชื่อมาจากกองทุนเปิดเค ตราสารหนี้ต่างประเทศ 2022G เมื่อวันที่ 11 พฤษภาคม 2565 | ลงทุนโดยตรงในเงินฝาก ตราสารหนี้ภาครัฐและเอกชน หน่วย CIS สัญญาซื้อขายล่วงหน้าเพื่อการเพิ่มประสิทธิภาพการบริหารการลงทุน (Efficient Portfolio Management) ตราสารที่มีสัญญาซื้อขายล่วงหน้าแฝง (Structured Note) ธุรกรรมการให้ยืมหลักทรัพย์ (Securities Lending) ธุรกรรมการซื้อโดยมีสัญญาขายคืน (Reverse Repo) ทั้งในและต่างประเทศ | ป้องกันความเสี่ยงด้านอัตราแลกเปลี่ยนไม่น้อยกว่า 90% ของมูลค่าเงินลงทุนในต่างประเทศ | เน้นลงทุนในตราสารหนี้ที่มีอันดับความน่าเชื่อถืออยู่ในอันดับที่สามารถลงทุนได้ อย่างไรก็ตาม กองทุนอาจลงทุนในตราสารหนี้ที่ไม่ได้รับการจัดอันดับความน่าเชื่อถือหรือได้รับการจัดอันดับความน่าเชื่อถือต่ำกว่าอันดับที่สามารถลงทุนได้ ไม่เกิน 20% ของ NAV | อาจลงทุนในหน่วยลงทุนของกองทุนรวมอื่นซึ่งอยู่ภายใต้การบริหารจัดการของบริษัทจัดการเดียวกันได้โดยไม่จำกัดอัตราส่วน และกองทุนรวมอื่นนั้นมีการลงทุนในหน่วยลงทุนของกองทุนรวมใดๆ ที่อยู่ภายใต้การบริหารจัดการของบริษัทจัดการเดียวกันต่อได้อีกไม่เกิน 1 ทอด | มุ่งหวังให้ผลประกอบการเคลื่อนไหวตามดัชนีชี้วัด และในบางโอกาสอาจสร้างผลตอบแทนสูงกว่าดัชนีชี้วัด,นาย ธีรุตร อัศวมงคลกุล
K-THAICGRMF,กองทุนนี้เปลี่ยนชื่อย่อกองทุนมาจาก KTHAICGRMF เมื่อวันที่ 12 มีนาคม 2568 | เน้นลงทุนในหุ้นของบริษัทที่มีการกำกับดูแลกิจการที่ดี รวมถึงบริษัทที่ได้รับการรับรองเป็นสมาชิกแนวร่วมต่อต้านคอร์รัปชันของภาคเอกชนไทย (CAC) ซึ่งการพิจารณาการกำกับดูแลกิจการที่ดีอาจพิจารณาจากการจัดอันดับ CG Scoring ของสมาคมส่งเสริมสถาบันกรรมการบริษัทไทย หรือหน่วยงานอื่นใดที่เกี่ยวข้อง | วัตถุประสงค์การลงทุนที่เกี่ยวกับความยั่งยืน : กองทุนจะลงทุนในบริษัทที่มีการกำกับดูแลกิจการที่ดี (Good Governance) เพื่อให้สอดคล้องกับการลงทุนแบบยั่งยืน (Sustainable Investment) | กรอบการลงทุน : กองทุนจะลงทุนในบริษัทที่มีการกำกับดูแลกิจการที่ดี (Good Governance) ได้รับการรับรองเป็นสมาชิกแนวร่วมต่อต้านคอร์รัปชันของภาคเอกชนไทย (CAC) ซึ่งการกำกับดูแลกิจการที่ดีอาจพิจารณาจากการจัดอันดับ CG Scoring ของสมาคมส่งเสริมสถาบันกรรมการบริษัทไทย (IOD) หรือหน่วยงานอื่นใดที่เกี่ยวข้อง | อาจลงทุนในสัญญาซื้อขายล่วงหน้าเพื่อการเพิ่มประสิทธิภาพการบริหารการลงทุน (Efficient Portfolio Management) | มุ่งหวังให้ผลประกอบการเคลื่อนไหวสูงกว่าดัชนีชี้วัด (active management),น.ส. วินิทร ผ่องใส
K-2520,ลงทุนในหุ้น ตราสารกึ่งหนี้กึ่งทุน ตราสารแห่งหนี้ และหรือเงินฝาก โดยจะลงทุนในหุ้นไม่เกิน 45% ของ NAV | ลงทุนในต่างประเทศไม่เกิน 25% ของ NAV | ป้องกันความเสี่ยงจากอัตราแลกเปลี่ยนตามดุลยพินิจของผู้จัดการกองทุน | กองทุนอาจลงทุนในสัญญาซื้อขายล่วงหน้าเพื่อการเพิ่มประสิทธิภาพการบริหารการลงทุน (Efficient Portfolio Management) และตราสารที่มีสัญญาซื้อขายล่วงหน้าแฝง (Structured Notes) | อาจลงทุนในกองทุนรวมอื่นซึ่งอยู่ภายใต้การบริหารของบริษัทจัดการได้โดยไม่จำกัดอัตราส่วน และกองทุนรวมอื่นนั้นมีการลงทุนในกองทุนรวมใดๆ ที่อยู่ภายใต้การบริหารจัดการของบริษัทจัดการเดียวกันต่อได้อีกไม่เกิน 1 ทอด | ผู้ถือหน่วยลงทุนสามารถเลือกรับผลตอบแทนโดยการขายคืนหน่วยลงทุนอัตโนมัติทุกวันทำการสุดท้ายของเดือนพฤษภาคมและพฤศจิกายน (ทำรายการเมื่อมีผลตอบแทนตั้งแต่ 500 บาทขึ้นไป) | มุ่งหวังให้ผลประกอบการเคลื่อนไหวสูงกว่าดัชนีชี้วัด (active management),น.ส. จริยา พิมลไพบูลย์ | นาย ธีรุตม์ ทวิชศรี
K-ALLBASIC,"กองทุนนี้เปลี่ยนชื่อมาจากกองทุนเปิดเค โกลบอล ริสก์-เอ็นแฮนซท์ แอลโลเคชั่น เมื่อวันที่ 25 กรกฎาคม 2566 | เน้นลงทุนในกองทุนต่างประเทศตั้งแต่ 2 กองทุนขึ้นไป ที่มีนโยบายลงทุนในพันธบัตร ตราสารหนี้ที่ให้อัตราดอกเบี้ยทั้งแบบคงที่และลอยตัว และตราสารหนี้ระยะสั้นที่ออกหรือค้ำประกันโดยภาครัฐหรือภาคเอกชน หุ้นกู้แปลงสภาพ ตราสารทุน เงินตราสกุลต่างๆ และ/หรือเงินสดและตราสารเทียบเท่าเงินสด ที่อยู่ในรูปสกุลเงินตราของกลุ่มประเทศ OECD และ/หรือกลุ่มประเทศตลาดเกิดใหม่ รวมถึงสกุลเงินหยวน โดยอาจลงทุนในตราสารที่มีอันดับความน่าเชื่อถือได้ทุกอันดับ รวมถึงตราสารที่มีอันดับความน่าเชื่อถือต่ำกว่าที่สามารถลงทุนได้ ซึ่งการคัดเลือกตราสารที่จะลงทุนทั้งในด้านผู้ออกตราสาร ตลาดที่ลงทุน (อาจจัดสรรเงินลงทุนทั้งหมดในกลุ่มประเทศตลาดเกิดใหม่ได้) และสกุลเงินที่ลงทุน (รวมถึงสกุลเงินของกลุ่มประเทศตลาดเกิดใหม่) จะเป็นไปตามดุลยพินิจของผู้จัดการกองทุน และอาจลงทุนในสัญญาซื้อขายล่วงหน้าโดยมีวัตถุประสงค์ทั้งเพื่อลดความเสี่ยง เพื่อเพิ่มประสิทธิภาพการบริหารการลงทุน และเพื่อเป็นส่วนหนึ่งของกลยุทธ์การลงทุน | อาจลงทุนในสัญญาซื้อขายล่วงหน้าเพื่อเพิ่มประสิทธิภาพการบริหารการลงทุนและป้องกันความเสี่ยงด้านอัตราแลกเปลี่ยนตามดุลยพินิจของผู้จัดการกองทุน | กองทุนรวมต่างประเทศที่กองทุนลงทุน ได้แก่ กองทุน LO Funds - All Roads Conservative, Syst. NAV Hdg, (USD) N Class A และกองทุน LO Funds – All Roads Growth, Syst. NAV Hdg, (USD) I Class A | มุ่งลงทุนในกองทุนรวมต่างประเทศที่บริหารกองทุนเพื่อควบคุมความเสี่ยงของพอร์ตการลงทุนโดยรวม",น.ส. ชุณหวรรณ ขัตตินานนท์
